"SOURCE ID: Author/Org, Date, Info",Link,World / Drawdown Region,Specific Geographic Location,Source Validation Code,Year / Date,License Code,Raw Data Input,Original Units,Conversion calculation,Common Units,Weight,Assumptions,Exclude Data?
"John, N., 2020. Best MPG Hybrids & Plug-In Hybrids ",https://www.motor1.com/car-lists/best-mpg-hybrids/ ,USA,USA,2 - Public Sector/ Multilateral Agency,2020,,58.0,miles/gallon,0.5707092589334626,%,,,False
"John, N., 2020. Best MPG Hybrids & Plug-In Hybrids ",https://www.motor1.com/car-lists/best-mpg-hybrids/ ,USA,USA,2 - Public Sector/ Multilateral Agency,2020,,56.0,miles/gallon,0.5553774467525149,%,,,False
"John, N., 2020. Best MPG Hybrids & Plug-In Hybrids ",https://www.motor1.com/car-lists/best-mpg-hybrids/ ,USA,USA,2 - Public Sector/ Multilateral Agency,2020,,52.0,miles/gallon,0.5211757118873236,%,,,False
"John, N., 2020. Best MPG Hybrids & Plug-In Hybrids ",https://www.motor1.com/car-lists/best-mpg-hybrids/ ,USA,USA,2 - Public Sector/ Multilateral Agency,2020,,52.0,miles/gallon,0.5211757118873236,%,,,False
"John, N., 2020. Best MPG Hybrids & Plug-In Hybrids ",https://www.motor1.com/car-lists/best-mpg-hybrids/ ,USA,USA,2 - Public Sector/ Multilateral Agency,2020,,52.0,miles/gallon,0.5211757118873236,%,,,False
"ITF, 2020",https://www.itf-oecd.org/sites/default/files/life-cycle-assessment-calculations-2020.xlsx,World,World,2 - Public Sector/ Multilateral Agency,2020,,19.60784314,km/L,0.4601346586409076,%,,,False
"ITF, 2020",https://www.itf-oecd.org/sites/default/files/life-cycle-assessment-calculations-2020.xlsx,World,World,2 - Public Sector/ Multilateral Agency,2020,,15.38461538,km/L,0.31193632933762433,%,,,False
"ITF, 2020",https://www.itf-oecd.org/sites/default/files/life-cycle-assessment-calculations-2020.xlsx,World,World,2 - Public Sector/ Multilateral Agency,2020,,20.70588235,km/L,0.4887638811445464,%,,,False
"John, N., 2020. Best MPG Hybrids & Plug-In Hybrids ",https://www.motor1.com/car-lists/best-mpg-hybrids/ ,USA,USA,2 - Public Sector/ Multilateral Agency,2020,,50.0,miles/gallon,0.5020227403628165,%,,,False
"EPA, 2021. The 2020 EPA Automotive Trends Report: Greenhouse Gas Emissions, Fuel Economy, and Technology Since 1975",https://nepis.epa.gov/Exe/ZyPDF.cgi?Dockey=P1010U68.pdf,USA,USA,2 - Public Sector/ Multilateral Agency,2020,,45.0,miles/gallon,0.446691933736463,%,,,False
"Bieker, G., 2021. A global comparison of the life-cycle greenhouse gas emissions of combustion engine and electric passenger cars 86",https://theicct.org/sites/default/files/publications/Global-LCA-passenger-cars-jul2021_0.pdf,EU,EU,2 - Public Sector/ Multilateral Agency,2020,,17.09401709,km/L,0.3807426964441137,%,,,False
"Milovanoff, A., Posen, I.D., MacLean, H.L., 2020. Electrification of light-duty vehicle fleet alone will not meet mitigation targets. Nat. Clim. Change 10, 1102–1107.",https://doi.org/10.1038/s41558-020-00921-7,USA,USA,1  - Peer Reviewed,2019,,19.607843137254903,km/L,0.4601346585653265,%,,,False
